"Month_Year","Borough_SNT","Count"
2023-07-01,"Haringey",2932
2023-08-01,"Haringey",2584
2023-09-01,"Haringey",2744
2023-10-01,"Haringey",2662
2023-11-01,"Haringey",2682
2023-12-01,"Haringey",2520
2024-01-01,"Haringey",2511
2024-02-01,"Haringey",2453
2024-03-01,"Haringey",2384
2024-04-01,"Haringey",2354
2024-05-01,"Haringey",2645
2024-06-01,"Haringey",2472
2024-07-01,"Haringey",2751
2024-08-01,"Haringey",2559
2024-09-01,"Haringey",2616
2024-10-01,"Haringey",2738
2024-11-01,"Haringey",2559
2020-12-01,"Harrow",1394
2021-01-01,"Harrow",1266
2021-02-01,"Harrow",1206
2021-03-01,"Harrow",1387
2021-04-01,"Harrow",1344
2021-05-01,"Harrow",1325
2021-06-01,"Harrow",1434
2021-07-01,"Harrow",1476
2021-08-01,"Harrow",1278
2021-09-01,"Harrow",1335
2021-10-01,"Harrow",1515
2021-11-01,"Harrow",1470
2021-12-01,"Harrow",1383
2022-01-01,"Harrow",1347
2022-02-01,"Harrow",1298
2022-03-01,"Harrow",1453
2022-04-01,"Harrow",1256
2022-05-01,"Harrow",1410
2022-06-01,"Harrow",1432
2022-07-01,"Harrow",1429
2022-08-01,"Harrow",1363
2022-09-01,"Harrow",1376
2022-10-01,"Harrow",1575
2022-11-01,"Harrow",1477
2022-12-01,"Harrow",1189
2023-01-01,"Harrow",1389
2023-02-01,"Harrow",1325
2023-03-01,"Harrow",1410
2023-04-01,"Harrow",1322
2023-05-01,"Harrow",1446
2023-06-01,"Harrow",1457
2023-07-01,"Harrow",1373
2023-08-01,"Harrow",1321
2023-09-01,"Harrow",1413
2023-10-01,"Harrow",1314
2023-11-01,"Harrow",1362
2023-12-01,"Harrow",1390
2024-01-01,"Harrow",1387
2024-02-01,"Harrow",1416
2024-03-01,"Harrow",1441
2024-04-01,"Harrow",1340
2024-05-01,"Harrow",1426
2024-06-01,"Harrow",1289
2024-07-01,"Harrow",1451
2024-08-01,"Harrow",1444
2024-09-01,"Harrow",1610
2024-10-01,"Harrow",1705
2024-11-01,"Harrow",1602
2020-12-01,"Havering",1477
2021-01-01,"Havering",1342
2021-02-01,"Havering",1367
2021-03-01,"Havering",1569
2021-04-01,"Havering",1522
2021-05-01,"Havering",1610
2021-06-01,"Havering",1524
2021-07-01,"Havering",1785
2021-08-01,"Havering",1567
2021-09-01,"Havering",1542
2021-10-01,"Havering",1754
2021-11-01,"Havering",1770
2021-12-01,"Havering",1544
2022-01-01,"Havering",1661
2022-02-01,"Havering",1698
2022-03-01,"Havering",1896
2022-04-01,"Havering",1661
2022-05-01,"Havering",1972
2022-06-01,"Havering",1866
2022-07-01,"Havering",1821
2022-08-01,"Havering",1870
2022-09-01,"Havering",1730
2022-10-01,"Havering",1794
2022-11-01,"Havering",1857
2022-12-01,"Havering",1667
2023-01-01,"Havering",1953
2023-02-01,"Havering",1761
2023-03-01,"Havering",1940
2023-04-01,"Havering",1801
2023-05-01,"Havering",1907
2023-06-01,"Havering",2022
2023-07-01,"Havering",1997
2023-08-01,"Havering",1962
2023-09-01,"Havering",2046
2023-10-01,"Havering",2059
2023-11-01,"Havering",2023
2023-12-01,"Havering",1857
2024-01-01,"Havering",1917
2024-02-01,"Havering",1931
2024-03-01,"Havering",1745
2024-04-01,"Havering",1801
2024-05-01,"Havering",1844
2024-06-01,"Havering",1844
2024-07-01,"Havering",1952
2024-08-01,"Havering",1814
2024-09-01,"Havering",1775
2024-10-01,"Havering",1859
2024-11-01,"Havering",1947
2020-12-01,"Hillingdon",2155
2021-01-01,"Hillingdon",2118
2021-02-01,"Hillingdon",2011
2021-03-01,"Hillingdon",2288
2021-04-01,"Hillingdon",2159
2021-05-01,"Hillingdon",2357
2021-06-01,"Hillingdon",2408
2021-07-01,"Hillingdon",2416
2021-08-01,"Hillingdon",2083
2021-09-01,"Hillingdon",2213
2021-10-01,"Hillingdon",2703
2021-11-01,"Hillingdon",2580
2021-12-01,"Hillingdon",2422
2022-01-01,"Hillingdon",2343
2022-02-01,"Hillingdon",2224
2022-03-01,"Hillingdon",2543
2022-04-01,"Hillingdon",2287
2022-05-01,"Hillingdon",2639
2022-06-01,"Hillingdon",2590
2022-07-01,"Hillingdon",2448
2022-08-01,"Hillingdon",2560
2022-09-01,"Hillingdon",2493
2022-10-01,"Hillingdon",2746
2022-11-01,"Hillingdon",2624
2022-12-01,"Hillingdon",2434
2023-01-01,"Hillingdon",2587
2023-02-01,"Hillingdon",2350
2023-03-01,"Hillingdon",2433
2023-04-01,"Hillingdon",2080
2023-05-01,"Hillingdon",2148
2023-06-01,"Hillingdon",2156
2023-07-01,"Hillingdon",2124
2023-08-01,"Hillingdon",2071
2023-09-01,"Hillingdon",2127
2023-10-01,"Hillingdon",2072
2023-11-01,"Hillingdon",2051
2023-12-01,"Hillingdon",1986
2024-01-01,"Hillingdon",2172
2024-02-01,"Hillingdon",2080
2024-03-01,"Hillingdon",2453
2024-04-01,"Hillingdon",2439
2024-05-01,"Hillingdon",2627
2024-06-01,"Hillingdon",2751
2024-07-01,"Hillingdon",2932
2024-08-01,"Hillingdon",2915
2024-09-01,"Hillingdon",2604
2024-10-01,"Hillingdon",2915
2024-11-01,"Hillingdon",2830
2020-12-01,"Hounslow",1937
2021-01-01,"Hounslow",1858
2021-02-01,"Hounslow",1844
2021-03-01,"Hounslow",2273
2021-04-01,"Hounslow",2082
2021-05-01,"Hounslow",2230
2021-06-01,"Hounslow",2335
2021-07-01,"Hounslow",2317
2021-08-01,"Hounslow",2128
2021-09-01,"Hounslow",2131
2021-10-01,"Hounslow",2337
2021-11-01,"Hounslow",2346
2021-12-01,"Hounslow",2033
2022-01-01,"Hounslow",2149
2022-02-01,"Hounslow",2090
2022-03-01,"Hounslow",2329
2022-04-01,"Hounslow",2142
2022-05-01,"Hounslow",2381
2022-06-01,"Hounslow",2274
2022-07-01,"Hounslow",2199
2022-08-01,"Hounslow",2215
2022-09-01,"Hounslow",2257
2022-10-01,"Hounslow",2325
2022-11-01,"Hounslow",2254
2022-12-01,"Hounslow",2034
2023-01-01,"Hounslow",2195
2023-02-01,"Hounslow",2118
2023-03-01,"Hounslow",2307
2023-04-01,"Hounslow",2171
2023-05-01,"Hounslow",2568
2023-06-01,"Hounslow",2506
2023-07-01,"Hounslow",2644
2023-08-01,"Hounslow",2630
2023-09-01,"Hounslow",2773
2023-10-01,"Hounslow",2408
2023-11-01,"Hounslow",2565
2023-12-01,"Hounslow",2348
2024-01-01,"Hounslow",2293
2024-02-01,"Hounslow",2344
2024-03-01,"Hounslow",2214
2024-04-01,"Hounslow",2310
2024-05-01,"Hounslow",2191
2024-06-01,"Hounslow",2280
2024-07-01,"Hounslow",2651
2024-08-01,"Hounslow",2309
2024-09-01,"Hounslow",2369
2024-10-01,"Hounslow",2441
2024-11-01,"Hounslow",2418
2020-12-01,"Islington",2050
2021-01-01,"Islington",1735
2021-02-01,"Islington",1739
2021-03-01,"Islington",2067
2021-04-01,"Islington",2151
2021-05-01,"Islington",2290
2021-06-01,"Islington",2275
2021-07-01,"Islington",2450
2021-08-01,"Islington",2346
2021-09-01,"Islington",2369
2021-10-01,"Islington",2598
2021-11-01,"Islington",2544
2021-12-01,"Islington",2323
2022-01-01,"Islington",2393
2022-02-01,"Islington",2359
2022-03-01,"Islington",2577
